Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A38195245,Dog,Australian Shepherd,American Blue Heeler,F,Yes,1.0,Young,Normal,3/31/2018 3:31 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,4/22/2018 12:13 PM,4/22/2018 12:13 PM,Adoption,Adoption Center,,
A38195245,Dog,Australian Shepherd,American Blue Heeler,F,Yes,2.0,Young,Normal,4/27/2018 4:30 PM,Clinic,Spay,,,4/27/2018 4:32 PM,4/27/2018 4:32 PM,Clinic Out,Other,,
A38203267,Dog,"Chihuahua, Long Coat",Mix,M,Yes,48.0,Adult,Normal,4/2/2018 2:01 PM,Owner/Guardian Surrender,For Adoption,Behavior Problem,,4/26/2018 10:50 AM,4/26/2018 10:50 AM,Transfer Out,For Adoption,For Adoption,"Green Lake Area Animal Shelter, LTD"
A38203267,Dog,"Chihuahua, Long Coat",Mix,M,Yes,49.0,Adult,Normal,5/11/2018 4:35 PM,Transfer In,For Adoption,Other,"Green Lake Area Animal Shelter, LTD",5/29/2018 12:08 PM,5/29/2018 12:08 PM,Transfer Out,For Adoption,For Adoption,Unforgettable Underdogs Dog Rescue
A38203327,Cat,Domestic Shorthair,Mix,M,Yes,35.0,Adult,Normal,4/2/2018 2:05 PM,Stray,Public Drop Off,,,4/4/2018 4:51 PM,4/4/2018 4:51 PM,Return to Owner/Guardian,Stray Reclaim,,
A38203740,Cat,Domestic Longhair,Mix,F,Yes,180.0,Senior,Normal,4/2/2018 2:33 PM,Owner/Guardian Surrender,For Adoption,Death of Owner,,6/3/2018 1:29 PM,,Euthanasia,Disease - Other Fatal,,
A38203752,Cat,Domestic Shorthair,Mix,F,No,180.0,Senior,Normal,4/2/2018 2:33 PM,Owner/Guardian Surrender,For Adoption,Death of Owner,,5/17/2018 4:52 PM,,Euthanasia,Injury,,
A38248511,Dog,American Blue Heeler,Mix,M,Yes,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/14/2018 3:14 PM,5/14/2018 3:14 PM,Adoption,Adoption Center,,
A38248526,Dog,American Blue Heeler,Mix,M,Yes,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/6/2018 11:27 AM,5/6/2018 11:27 AM,Adoption,Adoption Center,,
A38248535,Dog,American Blue Heeler,Mix,M,Yes,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,9/1/2018 3:35 PM,9/1/2018 3:35 PM,Adoption,Adoption Center,,
A38248544,Dog,American Blue Heeler,Mix,M,Yes,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/9/2018 6:42 PM,5/9/2018 6:42 PM,Adoption,Adoption Center,,
A38248557,Dog,American Blue Heeler,Mix,M,Yes,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/9/2018 6:53 PM,5/9/2018 6:53 PM,Adoption,Adoption Center,,
A38248572,Dog,American Blue Heeler,Mix,F,Yes,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,6/1/2018 5:01 PM,6/1/2018 5:01 PM,Adoption,Adoption Center,,
A38248572,Dog,American Blue Heeler,Mix,F,Yes,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,6/1/2018 5:01 PM,6/1/2018 5:01 PM,Adoption,Adoption Center,,
A38248584,Dog,American Blue Heeler,Mix,F,Yes,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/9/2018 3:49 PM,5/9/2018 3:49 PM,Adoption,Adoption Center,,
A38248584,Dog,American Blue Heeler,Mix,F,Yes,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/9/2018 3:49 PM,5/9/2018 3:49 PM,Adoption,Adoption Center,,
A38249920,Cat,Domestic Shorthair,Mix,F,Yes,,Adult,Normal,4/7/2018 4:24 PM,Stray,Public Drop Off,,,11/11/2018 1:11 PM,11/11/2018 1:11 PM,Adoption,Adoption Center,,
A38250258,Dog,"Retriever, Labrador",Mix,F,Yes,18.0,Young,Normal,4/7/2018 5:19 PM,Owner/Guardian Surrender,For Adoption,Time - Not Enough,,5/16/2018 2:59 PM,5/16/2018 2:59 PM,Adoption,Adoption Center,,
