Animal #,Out City,Out Province,Out Postal Code,adopted_lat,adopted_long
A39961216,Waupaca,WI,54981,44.35245361,-89.077857
A39976959,Appleton,WI,54914,44.29040971,-88.42198893
A02339350,Waupaca,WI,54981,44.35041756,-89.07654953
A08323387,Wautoma,WI,54982,44.0741052,-89.2734392
A15029754,Stevens Point,WI,54481,44.01765404,-88.52139392
A17924049,Waupaca,WI,54981,44.34936658,-89.0680713
A22734462,Clintonville,WI,54929,44.62286778,-88.75642633
A22734462,Marion,WI,54950,44.67647786,-88.88702014
A23297574,Clintonville,WI,54929,44.62875557,-88.75941283
A27669261,Redgranite,WI,54970,44.04592485,-89.10685715
A31935705,Stevens Point,WI,54481,44.5190587,-89.5982266
A34781129,Plover,WI,54467,44.45505175,-89.56139263
A34781129,Weyauwega,WI,54983,44.318184,-88.936376
A34781129,Appleton,WI,54914,44.24808936,-88.43301188
A36888638,Neenah,WI,54956,44.20513063,-88.50517949
A36888647,Oconto,WI,54153,44.88098207,-87.88026356
A37350673,Waupaca,WI,54981,44.379961,-88.749414
A37551631,Plover,WI,54467,44.46555391,-89.52092051
A37564569,Appleton,WI,54914,44.27422217,-88.4282817
A37585492,Waupaca,WI,54981,44.35148088,-89.07697971
A37597353,Plover,WI,54467,44.4603155,-89.5410045
A37606265,Weyauwega,WI,54983,44.31989064,-88.9169843
A37606275,Marion,WI,54950,44.670878,-88.899778
A37606282,Kaukauna,WI,54130,44.29031553,-88.27577103
