Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
0,Domestic Shorthair,Mix,0,1,5.0,Young,Normal,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/3/2020 3:08 PM,6/3/2020 3:08 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,5.0,Young,Normal,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/2/2020 12:37 PM,6/2/2020 12:37 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,0,0.0,Baby,Unweaned,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,3/18/2020 1:26 PM,,Died,Unknown,,
0,Domestic Shorthair,Mix,1,1,0.0,Baby,Normal,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/9/2020 12:47 PM,6/9/2020 12:47 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,0.0,Baby,Unweaned,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,9/27/2020 2:10 PM,9/27/2020 2:10 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,0.0,Baby,Unweaned,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/9/2020 12:24 PM,6/9/2020 12:24 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,0.0,Baby,Unweaned,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/10/2020 2:28 PM,6/10/2020 2:28 PM,Adoption,Adoption Center,,
0,Domestic Longhair,Mix,0,1,0.0,Baby,Unweaned,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/15/2020 1:29 PM,6/15/2020 1:29 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,0.0,Baby,Unweaned,3/4/2020 5:59 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,8/27/2020 5:53 PM,8/27/2020 5:53 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,23.0,Adult,Normal,3/5/2020 10:44 AM,Stray,ACO / Police Drop Off,,,3/2/2021 11:44 AM,3/2/2021 11:44 AM,Transfer Out,For Adoption,For Adoption,Orphan Animal Rescue - OARS
0,Domestic Shorthair,Mix,1,1,6.0,Young,Normal,3/5/2020 1:16 PM,Owner/Guardian Surrender,For Adoption,Health Issues/Human,,4/3/2020 7:06 PM,4/3/2020 7:06 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,6.0,Young,Normal,3/5/2020 1:16 PM,Owner/Guardian Surrender,For Adoption,Health Issues/Human,,3/14/2020 3:00 PM,3/14/2020 3:00 PM,Adoption,Adoption Center,,
1,Shepherd,Australian Shepherd,1,1,2.0,Baby,Normal,3/6/2020 3:21 PM,Owner/Guardian Surrender,For Adoption,Other,,3/12/2020 2:36 PM,3/12/2020 2:36 PM,Transfer Out,To Specific Rescue,For Adoption,White Paws German Shepherd Rescue
1,Shepherd,Australian Shepherd,1,1,2.0,Baby,Normal,3/6/2020 3:21 PM,Owner/Guardian Surrender,For Adoption,Other,,3/12/2020 2:36 PM,3/12/2020 2:36 PM,Transfer Out,To Specific Rescue,For Adoption,White Paws German Shepherd Rescue
1,Shepherd,Australian Shepherd,1,1,2.0,Baby,Normal,3/6/2020 3:21 PM,Owner/Guardian Surrender,For Adoption,Other,,3/12/2020 2:36 PM,3/12/2020 2:36 PM,Transfer Out,To Specific Rescue,For Adoption,White Paws German Shepherd Rescue
1,Shepherd,Australian Shepherd,1,1,2.0,Baby,Normal,3/6/2020 3:21 PM,Owner/Guardian Surrender,For Adoption,Other,,3/12/2020 2:36 PM,3/12/2020 2:36 PM,Transfer Out,To Specific Rescue,For Adoption,White Paws German Shepherd Rescue
1,Shepherd,Australian Shepherd,0,1,2.0,Baby,Normal,3/6/2020 3:21 PM,Owner/Guardian Surrender,For Adoption,Other,,3/27/2020 12:05 PM,3/27/2020 12:05 PM,Transfer Out,To Specific Rescue,For Adoption,White Paws German Shepherd Rescue
1,Shepherd,Australian Shepherd,0,1,2.0,Baby,Normal,3/6/2020 3:21 PM,Owner/Guardian Surrender,For Adoption,Other,,4/7/2020 11:09 AM,4/7/2020 11:09 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,60.0,Adult,Normal,3/11/2020 3:35 PM,Owner/Guardian Surrender,For Adoption,Moving,,11/16/2020 8:51 PM,11/16/2020 8:51 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,72.0,Adult,Normal,3/11/2020 3:35 PM,Owner/Guardian Surrender,For Adoption,Moving,,1/2/2021 2:54 PM,1/2/2021 2:54 PM,Adoption,Adoption Center,,
1,Retriever,Mix,0,1,,Adult,Normal,3/13/2020 3:29 PM,Stray,ACO / Police Drop Off,,,3/14/2020 3:39 PM,3/14/2020 3:39 PM,Return to Owner/Guardian,Stray Reclaim,,
1,Border Collie,Mix,1,0,1.0,Baby,Normal,3/17/2020 9:15 AM,Owner/Guardian Surrender,For Adoption,Other,,3/18/2020 5:11 PM,3/18/2020 5:11 PM,Transfer Out,For Adoption,For Adoption,Bichon and Little Buddies Rescue
1,Border Collie,Mix,1,0,1.0,Baby,Normal,3/17/2020 9:15 AM,Owner/Guardian Surrender,For Adoption,Other,,3/18/2020 5:11 PM,3/18/2020 5:11 PM,Transfer Out,For Adoption,For Adoption,Bichon and Little Buddies Rescue
1,Border Collie,Mix,1,0,1.0,Baby,Normal,3/17/2020 9:15 AM,Owner/Guardian Surrender,For Adoption,Other,,3/18/2020 5:11 PM,3/18/2020 5:11 PM,Transfer Out,For Adoption,For Adoption,Bichon and Little Buddies Rescue
1,Border Collie,Mix,1,0,1.0,Baby,Normal,3/17/2020 9:15 AM,Owner/Guardian Surrender,For Adoption,Other,,3/18/2020 5:11 PM,3/18/2020 5:11 PM,Transfer Out,For Adoption,For Adoption,Bichon and Little Buddies Rescue
1,Border Collie,Mix,0,0,1.0,Baby,Normal,3/17/2020 9:15 AM,Owner/Guardian Surrender,For Adoption,Other,,3/18/2020 5:11 PM,3/18/2020 5:11 PM,Transfer Out,For Adoption,For Adoption,Bichon and Little Buddies Rescue
1,Shepherd,Australian Shepherd,0,1,0.0,Baby,Normal,3/17/2020 10:16 AM,Owner/Guardian Surrender,For Adoption,Other,,5/19/2020 11:15 AM,5/19/2020 11:15 AM,Adoption,Adoption Center,,
1,Shepherd,Australian Shepherd,1,1,0.0,Baby,Normal,3/17/2020 10:16 AM,Owner/Guardian Surrender,For Adoption,Other,,6/3/2020 2:24 PM,6/3/2020 2:24 PM,Adoption,Adoption Center,,
1,Shepherd,Australian Shepherd,1,1,0.0,Baby,Normal,3/17/2020 10:16 AM,Owner/Guardian Surrender,For Adoption,Other,,5/23/2020 2:42 PM,5/23/2020 2:42 PM,Adoption,Adoption Center,,
1,Shepherd,Australian Shepherd,1,1,0.0,Baby,Normal,3/17/2020 10:16 AM,Owner/Guardian Surrender,For Adoption,Other,,6/16/2020 4:17 PM,6/16/2020 4:17 PM,Adoption,Adoption Center,,
1,Shepherd,Australian Shepherd,1,1,7.0,Baby,Normal,9/23/2020 8:42 AM,Return,Beyond Exchange Period,Behavior Problem,,11/3/2020 6:50 PM,11/3/2020 6:50 PM,Adoption,Adoption Center,,
1,Shepherd,Australian Shepherd,1,1,0.0,Baby,Normal,3/17/2020 10:16 AM,Owner/Guardian Surrender,For Adoption,Other,,4/20/2020 12:48 PM,4/20/2020 12:48 PM,Adoption,Adoption Center,,
